occupation,user_id,item_id,rating,age
administrator,328.0,318.0,4.0,38.0
artist,530.5,307.5,4.0,30.0
doctor,299.0,317.0,4.0,29.0
educator,426.0,325.0,4.0,45.0
engineer,495.0,297.0,4.0,33.0
entertainment,255.0,330.0,4.0,31.0
executive,374.0,336.0,4.0,36.0
healthcare,463.0,482.0,3.0,43.0
homemaker,708.0,323.0,3.0,26.0
lawyer,339.0,334.0,4.0,30.0
librarian,345.0,319.0,4.0,33.0
marketing,313.0,307.0,4.0,39.0
none,130.0,346.0,4.0,20.0
other,519.0,319.0,4.0,30.0
programmer,506.0,302.0,4.0,29.0
retired,308.0,371.0,4.0,60.0
salesman,457.0,313.0,4.0,33.0
scientist,543.0,273.0,4.0,33.0
student,462.0,323.0,4.0,21.0
technician,458.0,274.5,4.0,28.0
writer,503.0,354.0,3.0,32.0
